candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0002,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LECT,COR-01,2026-09-15
CL-2026-0002,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,EXPLI,COR-01,2026-09-15
CL-2026-0002,FR-EAF-ORAL/standard,FR-EAF-ORAL,,1,,GRAMM,COR-01,2026-09-15
CL-2026-0002,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,ENTRET,COR-01,2026-09-15
CL-2026-0002,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LANGOR,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-SYNT-01,,3,,FIDEL,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-SYNT-01,,1,,HIERAR,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-SYNT-01,,2,,LANG,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-ARGU-01,,0,,LANG,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-ARGU-01,,3,,POSITION,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-ARGU-01,,3,,ARGUM,COR-01,2026-09-15
CL-2026-0002,FR-MAI/standard,FR-MAI-ARGU-01,,0,,NUANCE,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-TEXT-01,,3,,THESE,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-TEXT-01,,1,,ETAPES,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-TEXT-01,,3,,LANG,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-DISS-01,,2,,LANG,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-DISS-01,,3,,TERMES,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-DISS-01,,2,,PROBLEME,COR-01,2026-09-15
CL-2026-0002,PHI/standard,PHI-T-DISS-01,,0,,PLAN,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,QUEST,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,STRUCT,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,DISCIP,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,ARGU,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,PRECIS,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,LANGUE,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,2,,INTER,COR-01,2026-09-15
CL-2026-0002,GO/standard,GO,,3,,POSTURE,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-01,,3,,DEMARCHE,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-01,,3,,REDAC,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-04,,2,,DEMPROB,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-04,,0,,REDPROB,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-01,,3,,EXACT,COR-01,2026-09-15
CL-2026-0002,MATH-EA/SPE,MEA-1-RAIS-04,,1,,EXACT,COR-01,2026-09-15
CL-2026-0002,EDS-MATH/NT,MATH-T-RAIS-04,,3,,DEMARCHE,COR-01,2026-09-15
CL-2026-0002,EDS-MATH/NT,MATH-T-RAIS-04,,3,,REDAC,COR-01,2026-09-15
CL-2026-0002,EDS-MATH/NT,MATH-T-RAIS-04,,2,,VERIF,COR-01,2026-09-15
CL-2026-0002,EDS-MATH/NT,MATH-T-RAIS-04,,0,,EXACT,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-DOCU-02,,3,,PRESENT,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-DOCU-02,,3,,ANALYSE,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-DOCU-02,,0,,CONCLU,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-DOCU-02,,0,,LECTURE,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-RAIS-01,,0,,LECTURE,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-RAIS-01,,3,,PROBLEM,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-RAIS-01,,3,,PLAN,COR-01,2026-09-15
CL-2026-0002,EDS-SES/NT,SES-T-RAIS-01,,0,,ARTICUL,COR-01,2026-09-15
