depot_source;chemin_source;composant;fonction_actuelle;qualite;dependances;dette_technique;decision;chemin_cible;justification;tests_requis;risque;priorite
nexus-project_v0;lib/diagnostics/score-diagnostic.ts;Scoring Diagnostic V2;Maîtrise couverture readiness confiance et incohérences;bonne;TypeScript et validations bilan;contrat spécifique et preuves non persistées;REFACTORER;lib/diagnostics/scoring/;Base déterministe la plus proche du cahier à généraliser;golden tests propriétés NOT_STUDIED bornes monotonicité;élevé;P0
nexus-project_v0;lib/assessments/scoring/;ScoringFactory;Scoring multi-matières Maths NSI générique;bonne;QuestionBank et core types;indices moins riches et NSP ambigu;REFACTORER;lib/diagnostics/scoring/;Converger avec Diagnostic V2 sans dupliquer un troisième moteur;parité snapshots et propriétés par matière;élevé;P0
nexus-project_v0;app/api/assessments/submit/route.ts;Soumission universelle;Valide score persiste puis lance SSN et bilans;bonne;Next Prisma QuestionBank ScoringFactory;identité payload et fire-and-forget;REFACTORER;app/api/diagnostics/attempts/submit/route.ts;Conserver le flux mais dériver identité serveur et mettre en file;API RBAC idempotence absence réponses fuite;critique;P0
nexus-project_v0;lib/diagnostics/types.ts;DiagnosticDefinition;Contrat définition scoring prompts RAG;bonne;TypeScript;pas de curriculum context ni statut revue question;REFACTORER;lib/diagnostics/definitions/schema.ts;Meilleure base existante pour le contrat canonique;validation Zod compatibilité packs;élevé;P0
nexus-project_v0;lib/diagnostics/definitions/;Registre legacy;Huit diagnostics Maths NSI STMG et alias;bonne;types et mappings programmes;non daté par cohorte et intitulés pré-stage;REFACTORER;lib/diagnostics/definitions/legacy/;Conserver derrière adaptateur puis migrer vers packs datés;tests de chargement et résolution version;élevé;P1
nexus-project_v0;programmes/mapping/*.yml;Mappings compétences;Domaines chapitres skills et poids;variable;js-yaml et compile scripts;pas de source BO date effet ou distinction préalable cible;INSPIRATION;data/curriculum/mappings/;IDs utiles mais contenu à revalider humainement;schéma source checksum revue;élevé;P1
nexus-project_v0;lib/diagnostics/bilan-renderer.ts;Fallback déterministe;Markdown élève parents Nexus;bonne;ScoringV2;audiences et règles pas totalement canoniques;PORTER;lib/reports/renderers/deterministic/;Fallback déjà cohérent avec indisponibilité LLM;snapshots trois audiences absence PII;élevé;P1
nexus-project_v0;lib/rag-client.ts;Client ChromaDB;Recherche filtrée et contexte;bonne;FastAPI ChromaDB;metadata curriculum et citations incomplètes;REFACTORER;lib/rag/retrieval/client.ts;ChromaDB est la décision canonique;timeouts filtres citations indisponibilité;élevé;P1
nexus-project_v0;lib/reports/stage/maybeCreateGeneratedReportJob.ts;Déduplication rapports;Checksum et création de job DB;bonne;Prisma GeneratedPedagogicalReport;spécifique stage EAF;REFACTORER;lib/reports/jobs/enqueue.ts;Pattern idempotent à généraliser;concurrence checksum non-écrasement version validée;élevé;P1
nexus-project_v0;lib/reports/stage/processGeneratedReportJob.ts;Pipeline rapport premium;Contexte LLM JSON LaTeX PDF;bonne;Prisma Mistral pdflatex stockage;spécifique et sans BullMQ canonique;REFACTORER;workers/reports/;Réutiliser étapes validées derrière queue durable;retry DLQ crash reprise LLM et PDF indisponibles;critique;P1
nexus-project_v0;lib/reports/stage/compileLatexToPdf.ts;Compilation PDF;Compilation durcie timeout et no-shell-escape;bonne;pdflatex et fs;dépendance binaire;PORTER;lib/reports/renderers/latex/compile.ts;Durcissement déjà testé;injection timeout compiler absent;élevé;P2
nexus-project_v0;components/bilan/;Visualisation bilan;Tabs viewer et aperçu parent;bonne;React UI Nexus;contrats legacy;REFACTORER;components/diagnostics/reports/;Réutiliser le design en séparant les audiences;accessibilité RBAC états vides snapshots;modéré;P2
