id,domain,requirement,current_evidence,current_status,target_acceptance,priority
REQ-001,Product,Single production application nexus-project_v0,Primary repo and production observed,PARTIAL,No new portal/database/deployment,P0
REQ-002,Frontend,Integrated student dashboard diagnostic,No generic catalogue; standalone portals,GAP,Authenticated dashboard catalogue and attempt,P1
REQ-003,Frontend,Integrated parent child reports,Child selector exists; no report library,PARTIAL,Only active PARENT publications per linked child,P1
REQ-004,Frontend,Integrated Nexus review,Several coach specialist panels,PARTIAL,Unified evidence/review queue,P1
REQ-005,Family,One parent several children,ParentProfile children exists,MET,Regression tests,P1
REQ-006,Family,Several guardians per child,Student parentId required,GAP,Verified N-N link with history/revocation,P1
REQ-007,Identity,Student identity derived from session,Stage routes do; public Assessment does not,PARTIAL,No client identity in authenticated path,P0
REQ-008,Ownership,Coach active assignment required,Some helpers correct; Bilan create/generate not,FAIL,PostgreSQL coach A/B tests,P0
REQ-009,Ownership,Parent child ownership,Direct parent checks exist,PARTIAL,Guardian link permission in DB query,P0
REQ-010,Audience,Student sees only STUDENT,Assessment/Diagnostic return parent too,FAIL,Negative projection contract tests,P0
REQ-011,Audience,Parent sees only PARENT published,PDF checks published/direct parent,PARTIAL,Versioned publication via guardian link,P0
REQ-012,Audience,Internal report remains internal,Sanitizers partial,PARTIAL,No internal fields in external DTOs,P0
REQ-013,Assignment,Use year/level/track/options/subjects,Coded profiles/definitions partial,GAP,Server assignment snapshot,P1
REQ-014,Curriculum,Previous and target curricula snapshot,Local resolver only and not runtime,GAP,Immutable IDs/checksums on attempt,P1
REQ-015,Curriculum,Unknown future year fails closed,2035 accepted,FAIL,UNKNOWN_CURRICULUM test,P0
REQ-016,Curriculum,Maths 2026 transition,Registry dates and official sources,PARTIAL,Archived checksummed sources and cohort tests,P1
REQ-017,Curriculum,PC/French/NSI/SNT coverage,No complete registry,GAP,Reviewed versions and definitions,P1
REQ-018,Attempt,Start and resume,Special draft forms only,PARTIAL,Generic attempt lifecycle,P1
REQ-019,Attempt,Autosave,Route-specific upserts,PARTIAL,Optimistic revisions and recovery,P1
REQ-020,Attempt,Idempotent submit,Assessment no key,FAIL,Same key replay and conflict tests,P0
REQ-021,Response,Distinguish not studied/dont know/blank,Current statuses too coarse; NSP bug,FAIL,Typed semantic enum and scoring tests,P0
REQ-022,Security,Do not ship correct answers,Assessment client import includes isCorrect,FAIL,Server question projection and bundle check,P0
REQ-023,Scoring,Deterministic and LLM-independent,Several deterministic engines,PARTIAL,Versioned ScoringRun/Snapshot,P0
REQ-024,Scoring,Fail closed on invalid contract,SafeParse only logs,FAIL,Atomic rejection and test,P0
REQ-025,Evidence,Item-to-skill/rule/source trace,Only JSON/aggregates,FAIL,Persist SkillEvidence,P1
REQ-026,Scoring,Separate mastery and coverage,score-diagnostic partially does,PARTIAL,Canonical axes with invariants,P1
REQ-027,Metacognition,Compare self estimate/performance,Some diagnostic deltas,PARTIAL,Separate per-skill gap,P1
REQ-028,Quality,Data quality and diagnostic confidence,Legacy indices incomplete/misnamed,PARTIAL,Versioned quality/trust rules,P1
REQ-029,Result,Score accessible despite enrichment failure,Legacy often retains score but status couples,PARTIAL,Score endpoint independent of report,P0
REQ-030,Async,Durable jobs,Fire-and-forget/stage partial/ NPC defect,FAIL,Outbox plus claimed jobs,P0
REQ-031,Async,Atomic claim and lease,None effective,FAIL,Concurrency/crash tests,P0
REQ-032,Async,Retry backoff DLQ,Prototype only; NPC retry broken,FAIL,Bounded retry and audited requeue,P0
REQ-033,Async,Immutable job inputs,Stage context rereads latest,FAIL,Snapshot IDs/checksum only,P0
