finding_id,severity,domain,title,description,evidence,affected_files,requirement_ids,production_impact,security_impact,pedagogical_impact,recommended_action,blocking
P0-001,P0_CRITICAL,curriculum,"Année inconnue résolue comme programme valide","Une version sans effectiveTo est considérée valable indéfiniment; 2035-2036 retourne les programmes 2026 au lieu de NO_MATCH.","resolve-curriculum-context.ts:65-88; commande npx tsx -e, sortie unknown-year avec IDs 2026","lib/curriculum/version-resolution/resolve-curriculum-context.ts","REQ-002;REQ-006","Mauvais programme possible pour une cohorte future","Indirect","Diagnostic et recommandations fondés sur un programme incorrect","Borner les périodes ou exiger une version explicitement connue et tester les années futures",true
P0-002,P0_CRITICAL,worker,"Traitements critiques non durables et concurrents","SSN/bilan sont fire-and-forget; le job de rapport n'a ni claim atomique, lease, backoff ni DLQ.","assessments/submit/route.ts:168-182; bilans/generate/route.ts:100-110; processGeneratedReportJob.ts:19-43","app/api/assessments/submit/route.ts;app/api/bilans/generate/route.ts;lib/reports/stage/processGeneratedReportJob.ts","REQ-009;REQ-027;REQ-028","Perte ou double génération au restart/concurrence","Régénération non auditée","Rapport absent ou incohérent","Mettre en place enqueue idempotent, worker durable, claim/lease, retry/backoff et DLQ",true
P0-003,P0_CRITICAL,security,"Génération et création de bilan sans assignation suffisante","Un coach peut viser un bilan par ID ou créer pour un studentId arbitraire sans preuve d'assignation.","bilans/generate/route.ts:45-55,135-188; bilans/route.ts:140-180","app/api/bilans/generate/route.ts;app/api/bilans/route.ts","REQ-017;REQ-018","Traitement/coût inter-élèves","IDOR, envoi de PII au LLM","Altération d'un bilan d'un autre élève","Appliquer ownership/assignment dans la requête DB et tests IDOR réels",true
P1-001,P1_HIGH,governance,"Branche d'audit incorrecte","Le changeset est sur main, pas audit/bilans-phase0-independent.","git branch --show-current => main; HEAD db04d23...","repository","REQ-035","Confusion de livraison et de preuve","Faible","Faible","Validation humaine puis reprise sur la branche correcte sans perte",true
P1-002,P1_HIGH,architecture,"Registre curriculum orphelin","Aucun import runtime hors tests; il n'alimente ni diagnostics, scoring, RAG ni rapports.","rg curriculum/resolveCurriculumContext/CURRICULUM_REGISTRY hors lib/curriculum => aucun usage","lib/curriculum/**","REQ-001;REQ-002","Fonctionnalité inactive","Aucun contrôle effectif","Programme non appliqué","Brancher seulement après correction et ADR",true
P1-003,P1_HIGH,curriculum,"Provenance officielle non auditable","Checksum optionnel, pas retrievedAt/archive/NOR obligatoire; aucun document archivé.","curriculum.ts:42-50; registry/math.ts; vérifications pages MEN","lib/curriculum/schemas/curriculum.ts;lib/curriculum/registry/math.ts","REQ-003;REQ-004","Impossible de reproduire la source historique","Intégrité de source non garantie","Contenu officiel non prouvé","Imposer archive, SHA-256, date de récupération, NOR et autorité",true
P1-004,P1_HIGH,privacy,"Réponse Assessment mélange les audiences","StudentMarkdown et parentsMarkdown sont sélectionnés et renvoyés ensemble aux propriétaires.","assessments/[id]/result/route.ts:40-56,129-146; ownership.ts:161-172","app/api/assessments/[id]/result/route.ts;lib/security/ownership.ts","REQ-012;REQ-013","Publication non contrôlée","Fuite inter-audiences","Message inadapté à l'audience","DTO whitelist par rôle et publication par audience",true
P1-005,P1_HIGH,security,"Soumission publique fondée sur l'identité client","Email, nom et téléphone fournis par le navigateur sont persistés; rapprochement ultérieur possible par email.","assessments/submit/route.ts:28-48,118-137; ownership.ts:38-45","app/api/assessments/submit/route.ts;lib/security/ownership.ts","REQ-009;REQ-017","Pollution/collision de dossiers","Impersonation et PII non vérifiée","Attribution erronée du diagnostic","Dériver l'identité de session ou utiliser un claim vérifié",true
P1-006,P1_HIGH,data,"Pas d'architecture de convergence implémentée","Diagnostic, Assessment, Bilan, StageBilan, EAF, NPC et GeneratedReport restent parallèles avec statuts/audiences incompatibles.","schema.prisma:963-1021,1137-1162,1235-1444,1915-1948,2055-2233,2339-2390","prisma/schema.prisma;docs/bilans/IMPLEMENTATION_PLAN.md","REQ-001;REQ-008;REQ-012;REQ-015","Dette et migrations risquées","Contrôles incohérents","Rapports divergents","ADR + mapping + double write/backfill idempotent",true
P1-007,P1_HIGH,rag,"RAG sans filtres curriculum ni citations complètes","Pas année/version/variante; buildRAGContext perd sourceId/chunkId/page/version/score.","rag-client.ts:15-21,89-138,237-255","lib/rag-client.ts","REQ-019;REQ-020;REQ-021","Corpus erroné et non auditable","Prompt injection/document non fiable","Mauvaise remédiation","Métadonnées obligatoires, filtres et citations structurées",true
P1-008,P1_HIGH,rag,"Collections et dimensions divergentes","Collections code/docs diffèrent; 768 documenté contre VECTOR_DIM 3072.","docs/RAG_ARCHITECTURE.md:12-21; .env.example:57-69; lib/bilan/generator.ts:193-211","lib/rag-client.ts;lib/bilan/generator.ts;.env.example;docs/RAG_ARCHITECTURE.md","REQ-019;REQ-020","Requêtes vides ou embeddings incompatibles","Fallback silencieux","Contexte absent/mauvais","Registre de collections unique + test de dimension/health",true
P1-009,P1_HIGH,llm,"PII et entrées hostiles envoyées aux LLM","Identité, école, verbatims, commentaires et chunks sont envoyés sans minimisation/injection defense prouvée.","lib/bilan/generator.ts:45-73,218-260; lib/reports/stage/buildReportContext.ts","lib/bilan/generator.ts;lib/reports/stage/buildReportContext.ts;lib/bilan-generator.ts","REQ-022;REQ-023;REQ-026","Dépendance fournisseur et incident confidentialité","Exposition PII/prompt injection","Narratif inventé ou orienté","Minimiser/pseudonymiser, cloisonner et valider le grounding",true
P1-010,P1_HIGH,production,"Stockage PDF futur non durable/non configuré","Fallback local private/generated-reports; répertoire absent en production; aucun object storage/signature observé.","reportStorage.ts:20-30; SSH read-only REPORT_DIR_MISSING","lib/reports/stage/reportStorage.ts;docker-compose.prod.yml","REQ-014;REQ-031","PDF perdu au redeploy/restart","Rétention et accès non gouvernés","Rapport indisponible","Object storage privé, chiffrement, URLs signées et runbook",true
P1-011,P1_HIGH,testing,"Tests PostgreSQL réels non validés","Quatre suites échouent sans DATABASE_URL; la base éphémère n'a pas été autorisée.","npm run test:integration -- --runInBand: 4 suites fail, 16 tests; DATABASE_URL missing","__tests__/integration;__tests__/security/idor-real.test.ts;__tests__/lib/bilan/bilan-schema.real.test.ts","REQ-016;REQ-028;REQ-033","Schéma/ownership non prouvés en DB","IDOR réel non validé","Workflow non validé","Exécuter Postgres/Redis éphémères après accord",true
P1-012,P1_HIGH,dependencies,"Douze vulnérabilités npm high","Next, Nodemailer, Tar, OpenAI transitifs et outils Prisma/glob sont signalés high.","npm audit --json: 24 total, 12 high, 0 critical","package.json;package-lock.json","REQ-034","Surface web/email/build affectée","Exploitation selon advisory/chemin","Indirect","Upgrade ciblé puis suite complète",true
P1-013,P1_HIGH,frontend,"Parcours diagnostic de rentrée absent","Aucun catalogue/tentative/autosave/reprise/publication unifiée dans les dashboards.","Inspection app/dashboard; aucun import curriculum runtime","app/dashboard/**;components/**","REQ-029;REQ-030","Fonction non atteignable","Risque si portail parallèle futur","Abandon/reprise impossible","Concevoir dans dashboards existants et tester E2E",true
P1-014,P1_HIGH,production,"Topologie cible et production réelle divergent","Production Nexus est PM2; compose prod décrit un conteneur; worker/Redis/report storage futurs non prouvés.","SSH: <PROCESS_NAME> PM2 online commit 1b8219b1; docker ps; docker-compose.prod.yml","docker-compose.prod.yml;docs/DEPLOY_PRODUCTION.md","REQ-027;REQ-031;REQ-032","Déploiement/restart/rollback indéterminés","Secrets/réseaux inconnus","Service de rapport indisponible","Runbook unique validé sur production",true
P2-001,P2_MEDIUM,curriculum,"Session d'examen non utilisée pour la résolution","examSession est parsée et renvoyée mais jamais filtrée.","resolve-curriculum-context.ts:14-24,76-108,141-151","lib/curriculum/version-resolution/resolve-curriculum-context.ts","REQ-003","Mauvaise session possible","Faible","Mauvais référentiel examen","Inclure session dans sélecteur et tests",true
P2-002,P2_MEDIUM,testing,"Runner d'intégration pollué par .next/standalone","Après build, Jest voit des mocks/package.json en double.","npm run test:integration sortie jest-haste-map","jest.integration.config.js;.next/standalone","REQ-033","CI locale non reproductible","Faible","Faible","Ignorer .next dans roots/modulePathIgnorePatterns",false
