workflow,method,url,entrypoint,guard,ownership,validation,transaction,idempotence,rate_limit,audience,mode,models,risk,status
Assessment,POST,/api/assessments/submit,/bilan-gratuit/assessment,Public,Client identity only,Zod,No,None,Public limiter,Multiple,Sync score then fire-and-forget,Assessment|DomainScore|SkillScore,"PII; duplicate; partial writes; NSP incorrect; invalid score can persist",CONFIRMED_CODE
Assessment,GET,/api/assessments/[id]/status,Processing page,Session + assessment access,Student relation/email; parent direct; coach assignment,ID shape,Read,None,No,Status projection,Sync,Assessment,Email compatibility widens ownership,CONFIRMED_CODE
Assessment,GET,/api/assessments/[id]/result,Result page,Session + assessment access,Same helper,ID shape,Read,None,No,Student+Parent,Sync,Assessment,Student and parent Markdown returned together,CONFIRMED_CODE
Assessment,GET,/api/assessments/[id]/export,Result page,Session + assessment access,Same helper,ID shape,Read,None,No,Assessment generic,Sync PDF,Assessment,Artifact not versioned,CONFIRMED_CODE
Assessment,POST,/api/assessments/predict,Staff route,Role/session,Real ownership helper,Schema,Read + inference,None,Limiter,Internal,Sync,Assessment,Real DB test requires PostgreSQL,CONFIRMED_CODE
Assessment,GET,/api/assessments/test,Technical,Environment/test,Not business ownership,Query,Read,None,No,Internal,Sync,None,Must not be production-facing,CONFIRMED_CODE
FreeBilan,POST,/api/bilan-gratuit,Public form,Public,Client identity,Zod,Prisma transaction for account intake,Request dependent,Public limiter,Intake,Sync,User|ParentProfile|Student,Legacy acquisition flow not diagnostic attempt,CONFIRMED_CODE
FreeBilan,GET,/api/bilan-gratuit/status,Public/dashboard,Session or token depending path,Current user,Query,Read,None,No,Status,Sync,Student|Assessment,Legacy aggregation,CONFIRMED_CODE
FreeBilan,POST,/api/bilan-gratuit/dismiss,Dashboard,Session,Current user,Schema,Write,Not documented,No,Current user,Sync,UserPreference,Separate from diagnostic workflow,CONFIRMED_CODE
Diagnostic,POST,/api/bilan-pallier2-maths,Standalone portal,Public,Client identity,Zod,DB writes not canonical,No,Public limiter,Multiple,Synchronous generation,Diagnostic,"PII; latency; dedicated chain",CONFIRMED_CODE
Diagnostic,GET,/api/bilan-pallier2-maths,Shared result,Signed share or staff,Token targets diagnostic,Query,Read,None,Limiter,Student+Parent+data,Sync,Diagnostic,Audience and raw data mixed,CONFIRMED_CODE
Diagnostic,POST,/api/bilan-pallier2-maths/retry,Staff action,Staff role,Diagnostic ID,Schema,Update same record,Weak,Limiter,Multiple,Synchronous generation,Diagnostic,Overwrite/no report version,CONFIRMED_CODE
Diagnostic,GET,/api/diagnostics/definitions,Diagnostic UI,Route-defined public/session policy,None,Query,Read,None,No,Catalogue,Sync,Code definitions,Only partial legacy definitions,CONFIRMED_CODE
Bilan,GET,/api/bilans,Staff/coach UI,Staff roles,Coach list forced to own coach profile,Query,Read,None,No,Internal,Sync,Bilan,Heterogeneous data and global publication,CONFIRMED_CODE
Bilan,POST,/api/bilans,Staff/coach UI,Staff roles,CoachId forced but student assignment not checked,Zod,Single write,None,Limiter,Internal,Sync,Bilan,IDOR write for arbitrary student,CONFIRMED_CODE
