requirement_id,section,requirement,classification,status,evidence,implementation_file,test_file,gap,risk,next_action
REQ-001,"CdC 1","Intégrer le diagnostic dans Nexus existant","architecture","DOCUMENTED_ONLY","IMPLEMENTATION_PLAN.md et TARGET_ARCHITECTURE.md; rg ne trouve aucun import curriculum runtime","","","Aucun chemin UI/API branché","P1","ADR convergence puis tranche verticale"
REQ-002,"CdC 2","Programme préalable distinct du programme cible","curriculum","PARTIALLY_IMPLEMENTED","resolve-curriculum-context.ts:14-24,117-139","lib/curriculum/version-resolution/resolve-curriculum-context.ts","__tests__/lib/curriculum/version-resolution.test.ts","Resolver orphelin et année inconnue incorrecte","P0","Borner versions et brancher"
REQ-003,"CdC 2","Versionner année niveau voie variante session","curriculum","PARTIALLY_IMPLEMENTED","curriculum.ts:52-64; examSession non filtré","lib/curriculum/schemas/curriculum.ts","__tests__/lib/curriculum/schemas.test.ts","Session sans effet; dates civiles absentes","P1","Compléter schéma et tests"
REQ-004,"CdC 2","Source officielle auditable avec archive et checksum","curriculum","NON_COMPLIANT","curriculum.ts:42-50 rend checksum optionnel et omet retrievedAt/archive","lib/curriculum/schemas/curriculum.ts","","URLs seules","P1","Archiver chaque document et imposer checksum"
REQ-005,"CdC 2","MENE2602914A seulement pour le texte correspondant","curriculum","IMPLEMENTED","registry/math.ts:6-13,73-82; page MEN officielle Seconde","lib/curriculum/registry/math.ts","__tests__/lib/curriculum/registry.test.ts","NOR Première/Terminale non normalisés","P2","Ajouter NOR exacts 2917A/2919A"
REQ-006,"CdC 2","Transitions 2026 et 2027 correctes","curriculum","PARTIALLY_IMPLEMENTED","15 tests passent sur quatre transitions; test 2035 échoue fonctionnellement","lib/curriculum/version-resolution/resolve-curriculum-context.ts","__tests__/lib/curriculum/version-resolution.test.ts","Cas négatifs incomplets","P0","Ajouter bornes et matrice exhaustive"
REQ-007,"CdC 2","Registre minimal sans sur-promesse de couverture","curriculum","IMPLEMENTED","registry/math.ts contient 8 entrées maths uniquement","lib/curriculum/registry/math.ts","__tests__/lib/curriculum/registry.test.ts","Aucune autre matière","INFO","Conserver libellé minimal"
REQ-008,"CdC 3","Tentative persistante et reprenable","workflow","NOT_STARTED","Aucun nouveau modèle/route; Assessment n'a pas autosave/reprise générique","prisma/schema.prisma","","Pas d'Attempt canonique","P1","Concevoir Attempt/Answer"
REQ-009,"CdC 3","Soumission idempotente et transactionnelle","workflow","NON_COMPLIANT","assessments/submit/route.ts:118-182","app/api/assessments/submit/route.ts","__tests__/api/assessments-submit.test.ts","3 écritures hors transaction; pas idempotency; fire-and-forget","P0","Transaction + idempotency key + enqueue"
REQ-010,"CdC 3","Score strictement déterministe","scoring","PARTIALLY_IMPLEMENTED","assessments/submit/route.ts:73-108 calcule serveur; aucun snapshot curriculum/règles","lib/assessments","__tests__/lib/diagnostics/scoring-regression.snapshot.test.ts","Version/provenance incomplète","P1","ScoreSnapshot immuable"
REQ-011,"CdC 3","Ne jamais exposer la correction avant soumission","security","PARTIALLY_IMPLEMENTED","Submit ne renvoie pas les bonnes réponses; definitions est public","app/api/assessments/submit/route.ts","__tests__/api/assessments-submit.test.ts","Audit exhaustif banques/definitions à maintenir","P1","DTO public sans isCorrect"
REQ-012,"CdC 4","Rapports versionnés par audience","reporting","NON_COMPLIANT","Assessment/Bilan ont 3 champs et isPublished global; result renvoie 2 audiences","prisma/schema.prisma; app/api/assessments/[id]/result/route.ts","__tests__/api/assessments.result.route.test.ts","Pas de Publication audience/version","P0","ReportVersion + Publication"
REQ-013,"CdC 4","Rapport interne inaccessible au parent","security","PARTIALLY_IMPLEMENTED","sanitization retire nexusMarkdown mais n'isole pas student/parent: ownership.ts:161-172","lib/security/ownership.ts","__tests__/api/assessments-rbac.test.ts","DTO audience incomplet","P1","Projection whitelist par rôle"
REQ-014,"CdC 4","PDF privé non prévisible","security","PARTIALLY_IMPLEMENTED","download coach protégé; reportStorage hors public","lib/reports/stage/reportStorage.ts","__tests__/lib/reports/stage/reportStorage.test.ts","Stockage local non durable; pas URL signée","P0","Object storage privé"
REQ-015,"CdC 4","Revue humaine avant publication","workflow","NOT_STARTED","Bilan PUT permet publication directe; GeneratedReport s'arrête PDF_READY","app/api/bilans/[id]/route.ts","","Pas de review/audit canonique","P1","Machine d'état et RBAC reviewer"
REQ-016,"CdC 5","Parent lié à l'enfant et ownership vérifié","security","PARTIALLY_IMPLEMENTED","Student.parentId et ownership parent; tests mocks passent","lib/security/ownership.ts","__tests__/api/parent.children.idor.route.test.ts","Un seul parent; tests DB bloqués","P1","Table ParentStudent + tests réels"
REQ-017,"CdC 5","StudentId dérivé de la session","security","NON_COMPLIANT","assessments submit accepte identité client; bilans POST accepte studentId arbitraire","app/api/assessments/submit/route.ts; app/api/bilans/route.ts","","Falsification/IDOR","P0","Deriver session ou claim sûr"
REQ-018,"CdC 5","Coach limité aux élèves assignés","security","NON_COMPLIANT","bilans/generate findUnique par id; bilans POST sans assignation","app/api/bilans/generate/route.ts; app/api/bilans/route.ts","__tests__/rbac/coach-student-access.test.ts","Routes critiques hors helper","P0","Ownership obligatoire par mutation"
REQ-019,"CdC 6","RAG canonique Chroma avec health/timeout","rag","PARTIALLY_IMPLEMENTED","rag-client.ts:3-13,112-138; production Chroma healthy","lib/rag-client.ts","__tests__/lib/rag-client.test.ts","Erreur silencieuse; pas retry/circuit/metrics","P1","Client robuste et erreur typée"
REQ-020,"CdC 6","Filtrer RAG par curriculum année voie variante","rag","NOT_STARTED","RAG ne porte que subject/level/track","lib/rag-client.ts","","Mauvais corpus/cohorte possible","P0","Métadonnées et filtres obligatoires"
REQ-021,"CdC 6","Citations sourceId chunkId page version score","rag","NON_COMPLIANT","buildRAGContext rag-client.ts:237-255 perd provenance détaillée","lib/rag-client.ts","__tests__/lib/rag-client.complete.test.ts","Chaîne texte seulement","P1","Persister citations structurées"
REQ-022,"CdC 6","Protéger contre prompt injection documentaire","security","NOT_STARTED","Chunks/verbatims interpolés sans isolation","lib/rag-client.ts; lib/bilan-generator.ts","","Instruction hostile possible","P1","Délimitation, politique, tests red-team"
REQ-023,"CdC 7","Sortie LLM structurée et validée","llm","PARTIALLY_IMPLEMENTED","Mistral JSON+Zod; Ollama Markdown libre","lib/reports/stage/processGeneratedReportJob.ts; lib/bilan/generator.ts","__tests__/lib/generators/bilan-generator-llm-mode.test.ts","Contrats divergents","P1","Schémas par audience"
REQ-024,"CdC 7","Tracer modèle prompt checksum entrée","llm","PARTIALLY_IMPLEMENTED","GeneratedReport stocke versions/model; checksum timestamps seulement","lib/reports/stage/checksums.ts","","Pas checksum contenu/RAG/model complet","P1","Hash canonique des inputs"
REQ-025,"CdC 7","Fallback déterministe si LLM/RAG échoue","llm","PARTIALLY_IMPLEMENTED","Legacy generator a fallback; canonical/Mistral échouent","lib/bilan-generator.ts; lib/bilan/generator.ts","__tests__/lib/bilan-generator.complete.test.ts","Incohérent par workflow","P1","Fallback minimal commun"
REQ-026,"CdC 7","Minimiser PII envoyée/loggée","privacy","NON_COMPLIANT","Contextes contiennent nom email téléphone école verbatims","lib/bilan/generator.ts; lib/reports/stage/buildReportContext.ts","","Pas preuve base légale/rétention","P0","DPIA/minimisation/redaction"
REQ-027,"CdC 8","Job durable avec retry backoff idempotence DLQ","worker","NON_COMPLIANT","processGeneratedReportJob.ts:19-43 sans claim/lease; pas BullMQ","lib/reports/stage/processGeneratedReportJob.ts","","Perte/double traitement","P0","Queue durable ou DB worker robuste"
REQ-028,"CdC 8","Survivre restart LLM RAG PDF double clic concurrence","worker","BLOCKED","Aucun test de chaos/concurrence; intégration bloquée","","","Non démontré","P0","Tests intégration/chaos"
REQ-029,"CdC 9","Intégration dashboards existants","frontend","PLANNED","Plan le dit; aucune route/composant nouveau","app/dashboard","","Pas de parcours atteignable","P1","Conception UX puis E2E"
REQ-030,"CdC 9","Reprise tentative progression fallback erreur","frontend","NOT_STARTED","Aucun Attempt/autosave/polling canonique","","","UX critique absente","P1","Spécifier états et accessibilité"
REQ-031,"CdC 10","Production worker Redis stockage objet secrets health","production","DOCUMENTED_ONLY","docker-compose.prod ne déploie pas le worker; prod PM2 observée","docker-compose.prod.yml","","Topologie cible non réconciliée","P0","Runbook production validé"
REQ-032,"CdC 10","Migrations et rollback sûrs","database","PLANNED","Aucune migration du lot; plan générique","prisma/schema.prisma","","Pas plan de migration convergence","P1","ADR + dry run DB éphémère"
REQ-033,"CdC 11","Tests unitaires intégration E2E sécurité","quality","PARTIALLY_IMPLEMENTED","Unit/build passent; 4 suites DB BLOCKED_NOT_VALIDATED","__tests__","__tests__/integration; __tests__/security","Pas preuve DB/Redis/E2E futur parcours","P1","Démarrer stack éphémère avec accord"
REQ-034,"CdC 11","Aucune vulnérabilité high/critical non triée","security","NON_COMPLIANT","npm audit: 12 high, 0 critical","package-lock.json","","Surface prod/build non remédiée","P1","Lot upgrade testé"
REQ-035,"Mission audit","Travailler sur la branche attendue","governance","NON_COMPLIANT","git branch --show-current => main","","","Mauvaise branche; traçabilité du lot","P1","Validation humaine avant branchement"
REQ-036,"Mission audit","Ne pas modifier les cinq dépôts sources","governance","IMPLEMENTED","Boucles status initiale et finale vides","","","Aucun","INFO","Maintenir lecture seule"
