Title,Description,Priority,Labels,Assignee,Sprint,Epic,Type,DueDate
ONB-001 Onboarding form,Créer le formulaire + POST /onboarding/bilan.,Medium,,,S1,ONB-01,Story,
ONB-002 Seed DB profils,Seeds 1re scolarisé + Tle individuel.,Medium,,,S1,ONB-01,Task,
ONB-003 Plan 7 jours v0,Planner génère un plan 7j basé profil.,Medium,,,S1,ONB-01,Story,
ONB-004 UI candidat individuel,Masquer pratiques non prévues + évaluations ponctuelles.,Medium,,,S1,ONB-01,Story,
CUR-101 Calendrier épreuves,GET /parcours/epreuves coef/date/nature.,Medium,,,S2,CUR-01,Story,
CUR-102 RAG minimal,Ingestion + index pgvector + /rag/search.,Medium,,,S2,CUR-01,Story,
CUR-103 Plan 14 jours,Pondération coeff×deadline×fragilités.,Medium,,,S2,CUR-01,Story,
ORI-201 Parcoursup checklist,Jalons + notifications.,Medium,,,S3,ORI-01,Story,
ORA-251 Grand Oral coach,Timer 5/20min + grille + export PDF.,Medium,,,S3,ORA-01,Story,
EVA-301 OCR-Grader,Upload PDF → OCR → rubric → score.,Medium,,,S4,EVA-01,Story,
SESS-351 Réservations,POST /sessions/book + quotas.,Medium,,,S4,SESS-01,Story,
PAR-401 Rapport Parent,KPIs + HTML/PDF + email.,Medium,,,S4,PAR-01,Story,
QA-001 Playwright E2E,Onboarding→plan; artefacts GHA.,Medium,,,S1,QA,Task,
CI-001 CI pipeline,Lint+unit+build; PR gated.,Medium,,,S1,CI,Task,
CI-002 E2E pipeline,Stack docker-compose + Playwright.,Medium,,,S2,CI,Task,
SEC-001 RBAC middleware,RBAC élève/parent/coach/admin.,Medium,,,S2,SEC,Task,
RGPD-001 Consentements & DSR,Export/effacement + audit.,Medium,,,S3,RGPD,Task,
