DOCUMENT,PAGE,CLAIM,CLAIM_TYPE,CANONICAL_SOURCE,CANONICAL_VALUE,MATCH,SEVERITY,ACTION
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,Dossier d'accueil famille,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,Stages de pré-rentrée 2026 · À remettre lors de l'inscription au centre,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,"Madame, Monsieur,",OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,Merci de votre confiance. Ce dossier récapitule l'inscription de votre enfant au stage de pré-,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,"rentrée Nexus Réussite, du 17 au 28 août 2026 à Mutuelleville. Vous y trouverez le programme",DATE,data/campaigns/pre-rentree-2026.json,"{""startDate"":""2026-08-17"",""endDate"":""2026-08-28"",""decisionDeadline"":""2026-08-10T18:00:00+01:00""}",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,"détaillé de chaque matière choisie, le planning des séances, les conditions financières et nos",PROGRAM,content/pre-rentree-2026/modules.json,"[{""id"":""seconde-mathematiques"",""level"":""SECONDE"",""subjectId"":""MATHEMATIQUES"",""subject"":""Mathématiques"",""title"":""Mathématiques — Entrée en Seconde"",""subtitle"":""Entrée en Seconde — consolider les acquis de Troisième et découvrir progressivement les attentes du lycée"",""prerequisites"":""Les acquis de Troisième et du collège ; un diagnostic en début de module précise les priorités."",""differentiation"":""Exercices à paliers et aides graduées selon la maîtrise du calcul et de la rédaction."",""quickAssessment"":""Exercice court de calcul et de raisonnement corrigé à la fin de chaque séance."",""sessions"":[{""number"":1,""title"":""Calcul, proportionnalité et calcul littéral"",""objective"":""Consolider le calcul nu…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,"engagements. Notre principe est simple : vous savez ce que vous payez, ce que votre enfant va",OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,"travailler séance par séance, et vous recevez un bilan écrit à la fin.",ASSESSMENT,content/pre-rentree-2026/modules.json + data/campaigns/pre-rentree-2026.json,"[{""title"":""Positionnement"",""description"":""Un diagnostic des acquis permet d'identifier les priorités de travail avant le démarrage du module.""},{""title"":""Travail guidé en groupe réduit"",""description"":""Les notions sont reprises dans un groupe de trois à cinq élèves, avec des consignes et des aides adaptées.""},{""title"":""Entraînement et correction"",""description"":""Chaque séance alterne méthode, exercices progressifs et correction explicite pour consolider les réflexes.""},{""title"":""Bilan et recommandations de rentrée"",""description"":""Le stage se termine par une synthèse des acquis observés et des recommandations de travail pour la rentrée.""}]",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,L'équipe Nexus Réussite,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,1,+216 99 19 28 29 · contact@nexusreussite.academy · nexusreussite.academy,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
