TRIGGER,ROUTE,SERVICE,TRANSPORTER,TEMPLATE,FROM,REPLY_TO,RECIPIENT_SOURCE,SYNC_OR_OUTBOX,IDEMPOTENT,RETRY,DEAD_LETTER,AUDIT,PII_IN_LOGS,FAILURE_RESPONSE,STATUS
Bilan gratuit,POST /api/bilan-gratuit,sendWelcomeParentEmail,lib/email.ts direct nodemailer,inline welcome parent,SMTP_FROM or public contact fallback,none,request parentEmail,SYNC_AFTER_DB_COMMIT,NO,NO,NO,console only,YES serializeError risk,failure swallowed; API claims sent,FALSE_SUCCESS_CONFIRMED
Resend activation,POST /api/auth/resend-activation,sendMail,lib/email/mailer.ts,inline route HTML,canonical aliases,canonical alias,normalized request email,SYNC_AFTER_TOKEN_REPLACED,PER_PROCESS_MAP_ONLY,NO,NO,console only,SAFE_CODE_ONLY,failure swallowed; generic success,TOKEN_DELIVERY_ATOMICITY_BROKEN
Password reset,POST /api/auth/reset-password,sendPasswordResetEmail,lib/email.ts direct nodemailer,inline reset HTML,SMTP_FROM or public contact fallback,none,User.email,SYNC,NO,NO,NO,console only,ERROR_MESSAGE,failure swallowed; generic success,FALSE_SUCCESS_BY_DESIGN_NO_DELIVERY_STATE
Student activation,POST /api/assistante/activate-student,commented sendActivationEmail,NONE,NONE,NONE,NONE,request studentEmail,NONE,NO,NO,NO,NONE,email echoed in success,claims sent although call commented,FALSE_SUCCESS_CONFIRMED
Assistant parent reset,POST /api/assistante/students,sendPasswordResetEmail,lib/email.ts direct nodemailer,inline reset HTML,SMTP_FROM fallback,none,DB parent email,SYNC,NO,NO,NO,console only,ERROR_MESSAGE,route error on throw,ACTIVE_LEGACY_TRANSPORT
Assistant custom invitation,POST /api/assistante/students,sendMail,lib/email/mailer.ts,inline route HTML,canonical aliases,canonical alias,DB/request email,SYNC,NO,NO,NO,console only,UNVERIFIED,route-specific,ACTIVE_CANONICAL_TRANSPORT
Parent adds child,POST /api/parent/children,sendMail fire-and-forget,lib/email/mailer.ts,inline escaped HTML,canonical aliases,canonical alias,child account email,ASYNC_UNAWAITED,NO,NO,NO,console only,SAFE_CODE_ONLY,request succeeds regardless,DELIVERY_UNTRACKED
Stage registration,POST /api/stages/[stageSlug]/inscrire,sendMail,lib/email/mailer.ts,inline route HTML,canonical aliases,canonical alias,reservation email,SYNC,DB unique email+academy only,NO,NO,console only,UNVERIFIED,route-specific,ACTIVE_CANONICAL_TRANSPORT
Stage confirmation,POST /api/stages/[stageSlug]/reservations/[reservationId]/confirm,sendMail,lib/email/mailer.ts,inline route HTML,canonical aliases,canonical alias,reservation email,SYNC_AFTER_STATE_CHANGE,NO,NO,NO,console only,UNVERIFIED,state can precede delivery,DELIVERY_ATOMICITY_UNPROVEN
Legacy reservation bank transfer,POST /api/reservation,sendStageBankTransferConfirmation,lib/email.ts direct nodemailer,inline bank transfer,SMTP_FROM fallback,none,reservation email,SYNC,NO,NO,NO,console only,ERROR_MESSAGE,route-specific,ACTIVE_LEGACY_TRANSPORT
CRM lead notification,lib/crm/contact-leads,sendMail,lib/email/mailer.ts,lib/email/templates.ts contactLeadNotification,canonical aliases,canonical alias,INTERNAL_NOTIFICATION_EMAIL/CRM alias,SYNC,NO,NO,NO,console only,template escapes fields,caller-specific,ACTIVE_CANONICAL_TRANSPORT
Bilan acknowledgement,POST /api/notify/email,sendMail,lib/email/mailer.ts,lib/email/templates.ts bilanAcknowledgement,canonical aliases,canonical alias,request lead email,SYNC,NO,NO,NO,console only,template escaped,HTTP reflects send result,ACTIVE_CANONICAL_TRANSPORT
Internal notification,POST /api/notify/email,sendMail,lib/email/mailer.ts,lib/email/templates.ts internalNotification,canonical aliases,canonical alias,configured internal address,SYNC,NO,NO,NO,console only,template escaped,HTTP reflects send result,ACTIVE_CANONICAL_TRANSPORT
Invoice send,POST /api/admin/invoices/[id]/send,sendInvoiceEmail,lib/invoice/send-email.ts direct nodemailer,lib/invoice/email-template.ts,SMTP_FROM/fallback,none,invoice customer email,SYNC_AFTER_LOOKUP,NO,NO,NO,console only,UNVERIFIED,route error on failure,ACTIVE_LEGACY_TRANSPORT
Admin test email,POST /api/admin/test-email,sendWelcomeEmail,lib/email-service.ts singleton nodemailer,inline email-service templates,SMTP_FROM/fallback,none,admin-selected recipient,SYNC,NO,NO,NO,console only,UNVERIFIED,HTTP reflects result,ACTIVE_LEGACY_TRANSPORT
Welcome/session/reminder,lib/email-service.ts consumers,sendWelcomeEmail/session functions,lib/email-service.ts singleton nodemailer,inline service templates,SMTP_FROM/fallback,none,User/session DB,SYNC,NO,NO,NO,console only,RAW_DYNAMIC_HTML_UNESCAPED,throws/boolean mixed,ACTIVE_LEGACY_TRANSPORT
Credit expiry cron,lib/cron-jobs.ts,sendCreditExpirationReminder,lib/email.ts direct nodemailer,inline reminder HTML,SMTP_FROM fallback,none,parent DB email,SYNC_LOOP,NO,NO,NO,console only,ERROR_MESSAGE,cron catches per job,ACTIVE_LEGACY_TRANSPORT
