DOMAIN,CONSUMER,PROVIDER,MODEL,CONFIG_SOURCE,DATA_SENT,PII_CLASS,RAG_USED,PROMPT_SOURCE,OUTPUT_SCHEMA,RETRY,BUDGET,OBSERVABILITY,ACTIVE,LEGACY,REMOVAL_PLAN
Canonical assessment scoring,lib/bilans/assessments/scoring-service.ts,NONE,DETERMINISTIC,versioned scoring policy,sealed answers and manual decisions,LOCAL_SENSITIVE,false,local code,typed score snapshot,idempotent DB operations,N/A,audit events,STACK_ONLY,true,"retain as sole scoring authority"
Canonical report context,lib/bilans/assessments/report-service.ts,NONE,DETERMINISTIC,canonical pedagogy catalog,score snapshot and approved evidence,LOCAL_SENSITIVE,false,local code,typed report context,N/A,N/A,audit events,STACK_ONLY,false,"C2 may consume context only after authorization"
Canonical report transport,lib/llm/openrouter/client.ts,OPENROUTER,"anthropic/claude-sonnet-5; openai/gpt-5.6-terra",typed server config and model policy v1.1,synthetic contract only in current code,SYNTHETIC_ONLY,false,versioned contract test,strict JSON schema,versioned attempt plan,micro-USD limits,safe provenance,STACK_CONTRACT_NOT_BUSINESS_CONNECTED,false,"future D6 only; no report-service import today"
Canonical provider preflight,scripts/bilans/openrouter-preflight.ts,OPENROUTER,"Sonnet 5; Terra",private key and attestation files,synthetic-no-pii,SYNTHETIC_ONLY,false,contract test,strict JSON schema,no opaque fallback,private cap,private redacted proof,MANUAL_ONLY,false,"retain outside CI"
Legacy canonical-like bilan,lib/bilan-generation/index.ts,MISTRAL,mistral-large-latest,MISTRAL_* environment,bilan prompt and source data,MINOR_DATA_POSSIBLE,false,lib/bilan-generation/buildBilanPrompt.ts,markdown plus heuristic checks,one corrective retry,NONE,model/duration logs,ACTIVE_MAIN,true,"D6/D7 forbid new canonical writes; historical reads retained"
Legacy bilan persistence,lib/bilan-generation/saveGeneratedBilan.ts,MISTRAL,mistral result metadata,call result,parentsMarkdown and generation metadata,MINOR_DATA_POSSIBLE,false,caller,untyped markdown,N/A,NONE,DB metadata,ACTIVE_MAIN,true,"stop new writes; no dual-write"
Legacy unified bilan,lib/bilan/generator.ts,OLLAMA,qwen2.5:32b,LLM_MODE and OLLAMA_*,student identity and assessment context,MINOR_DATA_DIRECT,true,inline prompts,markdown,provider call plus deterministic public fallback,NONE,DB progress/error,ACTIVE_MAIN,true,"D6 isolate legacy; remove silent public fallback for canonical path"
Legacy diagnostic bilan,lib/bilan-generator.ts,OLLAMA,OLLAMA_MODEL or llama3.2:latest,OLLAMA_* and RAG_*,student diagnostic and scoring context,MINOR_DATA_DIRECT,true,inline prompts,markdown,local fallback path,NONE,console errors,ACTIVE_MAIN,true,"historical domain only"
Legacy stage structured report,lib/reports/stage/generateStructuredReportWithMistral.ts,MISTRAL,MISTRAL_MODEL,lib/llm/mistral.ts,stage report input,MINOR_DATA_POSSIBLE,false,inline system prompt,JSON parsed but not strict external schema,client timeout only,NONE,model logs,ACTIVE_MAIN,true,"do not import into canonical bilans"
Legacy EAF report,lib/coach/eaf-stage-printemps/llm-report.ts,OLLAMA,qwen2.5:32b,OLLAMA_* and RAG_*,student EAF evidence and name,MINOR_DATA_DIRECT,true,inline prompt,markdown,no durable queue,NONE,console errors,ACTIVE_MAIN,true,"separate legacy domain and minimize PII"
NPC vision and reports,lib/npc/ai/chutes-client.ts,CHUTES,"Llama vision; Llama-4 Maverick",NPC configuration,copy images and NPC content,MINOR_DATA_HIGH,true,NPC code,provider JSON/text,bounded HTTP retry unproven,NONE,NPC job state,ACTIVE_MAIN,false,"keep strictly bounded to NPC; architecture import test for canonical bilans"
Programme RAG,lib/rag-client.ts,RAG_API,external configured backend,RAG_INGESTOR_URL and RAG_API_TOKEN,queries and retrieved programme chunks,EDUCATIONAL_CONTENT,true,route/component prompts,search-hit schema,timeout only,NONE,health/status helpers,ACTIVE_MAIN,false,"D8 verify backend ownership corpus and token"
Programme maths RAG routes,app/api/programme/maths-1ere*/rag/route.ts,RAG_API,external backend,RAG_* environment,user query and subject filters,FREE_TEXT_POSSIBLE,true,route input,search result DTO,no durable retry,NONE,HTTP status,ACTIVE_MAIN,false,"add PII boundary and rate-limit verification"
Direct OpenAI,NONE_FOUND,OPENAI,NONE,OPENAI_API_KEY absent in production,NONE,NONE,false,NONE,NONE,NONE,NONE,NONE,INACTIVE,false,"do not add a second canonical report client"
