jour,date,heure,famille,id,canal,audience,niveau,tunnel,objectif,assetId,texte,CTA,UTM,réponseWhatsApp,KPI
J1,,19:00,publications,01-annonce-generale,Facebook | Instagram | WhatsApp,Parents d'élèves du système français en Tunisie | Candidats libres selon le parcours,TROISIEME | SECONDE | PREMIERE | TERMINALE,DISCOVERY,Faire connaître l'ouverture des stages et initier une conversation qualifiée,full-post-01-annonce-generale,"Dès le 17 août à Mutuelleville, Nexus Réussite propose des stages de pré-rentrée de la 3e à la Terminale. Chaque matière suit cinq séances de deux heures avec des objectifs annoncés, de l'entraînement et une correction structurée. Les matières sont proposées selon le niveau et les effectifs restent limités au parcours choisi.",Recevoir le programme sur WhatsApp,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_01_annonce,"Bonjour Nexus Réussite, je souhaite recevoir le programme de pré-rentrée 2026 pour le niveau [niveau] en [matière].","Portée utile, lecture vidéo et visites de profil"
J1,,19:00,stories,01-decouverte,Instagram Story | Facebook Story | WhatsApp Status,Parents découvrant Nexus Réussite,ALL,DISCOVERY,Faire découvrir les stages et obtenir une réponse de niveau,full-story-01-decouverte,"Cette séquence annonce le démarrage le 17 août à Mutuelleville, explique le format en cinq séances et invite la famille à répondre avec la classe d'entrée de l'élève.",Répondre avec le niveau,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_01_decouverte,"Bonjour, mon enfant entre en [niveau] et je souhaite découvrir le stage.","Portée utile, lecture vidéo et visites de profil"
J2,,19:00,carousels,01-methode,Facebook | Instagram,Parents souhaitant comprendre la méthode,ALL,CONSIDERATION,Expliquer la progression pédagogique des dix heures,full-carousel-01-methode,"Ce carrousel présente les cinq étapes du stage : situer le besoin, réactiver, s'entraîner, corriger et consolider. Chaque séance conserve un objectif annoncé afin que l'élève comprenne le rôle du travail demandé et puisse réutiliser la méthode à la rentrée.",Recevoir le programme sur WhatsApp,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_01_methode,"Bonjour, je souhaite recevoir le programme des cinq séances pour [niveau] en [matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J3,,19:00,publications,02-entree-3e,Facebook | Instagram,Parents d'élèves entrant en 3e,TROISIEME,CONSIDERATION,Présenter clairement les deux matières disponibles en 3e,full-post-02-entree-3e,"Le parcours d'entrée en 3e est proposé en Mathématiques ou en Français. Chaque matière comprend dix heures organisées en cinq séances, dans un groupe de quatre à six élèves. Le travail suit des objectifs explicites, des exercices progressifs et une correction qui aide l'élève à comprendre ses erreurs.",Vérifier la matière et les horaires,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_02_3e,"Bonjour, mon enfant entre en 3e et nous recherchons le stage de [Mathématiques/Français]. Pouvez-vous confirmer les horaires ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J3,,19:00,stories,02-entree-3e,Instagram Story | Facebook Story | WhatsApp Status,Parents d'élèves entrant en 3e,TROISIEME,CONSIDERATION,Qualifier la matière recherchée en 3e,full-story-02-entree-3e,"Cette séquence présente les deux matières disponibles, le groupe de quatre à six élèves et le CTA qui permet de vérifier les horaires et le tarif du parcours choisi.",Choisir la matière,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_02_3e,"Bonjour, mon enfant entre en 3e et souhaite travailler [Mathématiques/Français].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J4,,19:00,carousels,02-entree-3e,Facebook | Instagram,Parents d'élèves entrant en 3e,TROISIEME,CONSIDERATION,Présenter le parcours 3e de façon complète,full-carousel-02-entree-3e,"Ce carrousel détaille l'offre d'entrée en 3e : Mathématiques ou Français, dix heures par matière, groupe de quatre à six élèves et progression structurée. Le tarif exact correspond à la grille approuvée.",Choisir Mathématiques ou Français,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_02_3e,"Bonjour, mon enfant entre en 3e et souhaite travailler [Mathématiques/Français]. Pouvez-vous transmettre le programme et les horaires ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J5,,19:00,publications,03-entree-seconde,Facebook | Instagram,Parents d'élèves entrant en Seconde,SECONDE,CONSIDERATION,Présenter les matières disponibles en Seconde,full-post-03-entree-seconde,"En Seconde, les stages sont proposés en Mathématiques, Physique-Chimie ou Français. Chaque matière représente cinq séances de deux heures, en groupe de quatre à six élèves. L'élève reprend les notions utiles, s'entraîne et apprend à relire une correction pour construire une méthode réutilisable.",Choisir la matière sur WhatsApp,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_03_seconde,"Bonjour, mon enfant entre en Seconde et souhaite travailler [matière]. Pouvez-vous nous conseiller le parcours adapté ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J5,,19:00,stories,03-entree-seconde,Instagram Story | Facebook Story | WhatsApp Status,Parents d'élèves entrant en Seconde,SECONDE,CONSIDERATION,Qualifier la matière recherchée en Seconde,full-story-03-entree-seconde,"Cette séquence présente Mathématiques, Physique-Chimie et Français, rappelle le groupe de quatre à six élèves et dirige vers WhatsApp pour vérifier le programme exact.",Indiquer la matière,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_03_seconde,"Bonjour, mon enfant entre en Seconde et souhaite travailler [matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J6,,19:00,carousels,03-entree-seconde,Facebook | Instagram,Parents d'élèves entrant en Seconde,SECONDE,CONSIDERATION,Présenter sans ambiguïté les trois matières de Seconde,full-carousel-03-entree-seconde,"Ce carrousel présente uniquement les matières disponibles en Seconde : Mathématiques, Physique-Chimie et Français. Chaque parcours comprend cinq séances de deux heures en groupe de quatre à six élèves, avec entraînement et correction organisés.",Vérifier la matière de Seconde,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_03_seconde,"Bonjour, mon enfant entre en Seconde et cherche le stage de [matière]. Pouvez-vous confirmer le programme ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J7,,19:00,reels,01-methode,Instagram Reels | Facebook Reels | WhatsApp Status,Parents et élèves découvrant la méthode Nexus,ALL,DISCOVERY,Montrer en trente secondes comment les dix heures sont structurées,full-reel-01-methode,"Ce Reel motion design explique la progression en cinq séances, les objectifs annoncés, l'entraînement et la correction. Il se réalise uniquement avec typographie, icônes vectorielles, logo officiel et musique issue de la bibliothèque de la plateforme au moment de la publication.",Recevoir le programme sur WhatsApp,utm_source=meta&utm_medium=reel_organic&utm_campaign=pre_rentree_2026&utm_content=reel_01_methode,"Bonjour, je souhaite recevoir le programme des cinq séances pour [niveau] en [matière].","Portée utile, lecture vidéo et visites de profil"
